região onde foi realizada a entrevista;idade: qual a sua idade (em anos completos)?;área;sexo;cor ou raça;última série escolar que concluiu com aprovação;até que série o seu pai estudou;até que série a sua mãe estudou;renda total do chefe da família no último mês;renda total de todos os moradores (parentes e agregados) no último mês;número de moradores no domicílio (parentes e agregados);no último mês, alguma pessoa deste domicílio recebeu rendimentos do bolsa famíli;religião;mulheres que usam roupas que mostram o corpo merecem ser atacadas;as mulatas são mais fogosas do que as mulheres brancas;dá para entender que um homem que cresceu em uma família violenta agrida sua mul;os homens devem ser a cabeça do lar;casos de violência dentro de casa devem ser discutidos somente entre os membros ;incomoda ver dois homens, ou duas mulheres, se beijando na boca em público;se as mulheres soubessem como se comportar, haveria menos estupros;homem que bate na esposa tem que ir para a cadeia;é violência falar mentiras sobre uma mulher para os outros;toda mulher sonha em se casar;o que acontece com o casal em casa não interessa aos outros;quando há violência, os casais devem se separar;casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais;dá pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo;um homem pode xingar e gritar com sua própria mulher;é da natureza do homem ser violento;em briga de marido e mulher, não se mete a colher;a roupa suja deve ser lavada em casa;uma mulher só se sente realizada quando tem filhos/as;a mulher casada deve satisfazer o marido na cama, mesmo quando não tem vontade;piada de preto é só brincadeira, não é racismo;um casal de dois homens vive um amor tão bonito quanto entre um homem e uma mulh;mulher que é agredida e continua com o parceiro gosta de apanhar;casamento de homem com homem ou de mulher com mulher deve ser proibido;a mulher que apanha em casa deve ficar quieta para não prejudicar os filhos;a questão da violência contra as mulheres recebe mais importância do que merece;tem mulher que é pra casar, tem mulher que é pra cama
NORDESTE;37;urbano;feminino;parda;fundamental completa;analfabeto ou sem instrução;analfabeto ou sem instrução;700;700;4;2;católica;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda parcial;concorda total;discorda total;discorda total;discorda total;concorda total;discorda total;ns;discorda total;discorda total;concorda total
SUL;35;urbano;masculino;parda;sexta série fundamental;analfabeto ou sem instrução;terceira série fundamental;660;1900;;1;evangélica;discorda total;concorda total;concorda parcial;discorda parcial;discorda parcial;discorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda parcial;discorda total;concorda total
SUDESTE;62;metropolitano;feminino;branca;quarta série fundamental incompleta;analfabeto ou sem instrução;analfabeto ou sem instrução;1000;1001;1;2;católica;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda parcial;discorda parcial;concorda parcial;discorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda total
SUDESTE;64;urbano;masculino;parda;fundamental completa;quarta série fundamental incompleta;quarta série fundamental completa;2000;4000;3;2;espírita;discorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;ns;concorda total;concorda parcial;discorda total;discorda total;discorda total
SUDESTE;68;urbano;masculino;branca;quarta série fundamental incompleta;primeira série fundamental;primeira série fundamental;;;4;2;evangélica;discorda total;ns;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;ns
SUDESTE;41;metropolitano;masculino;branca;fundamental completa;quarta série fundamental incompleta;quarta série fundamental incompleta;2000;2000;3;2;católica;discorda total;neutro;discorda total;concorda parcial;concorda parcial;concorda total;discorda total;concorda total;discorda parcial;concorda total;concorda parcial;neutro;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;neutro;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
SUDESTE;25;metropolitano;feminino;branca;superior completo;quinta série fundamental;quinta série fundamental;3000;3800;4;2;católica;discorda total;neutro;discorda total;concorda parcial;concorda parcial;concorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;neutro;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;discorda total;neutro;concorda parcial;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total
SUDESTE;51;metropolitano;masculino;preta;quinta série fundamental;não sabe;não sabe;1000;1000;1;2;católica;discorda total;neutro;discorda total;neutro;concorda parcial;concorda total;discorda total;concorda parcial;discorda total;discorda parcial;concorda parcial;neutro;discorda total;discorda total;discorda total;discorda total;neutro;neutro;concorda parcial;neutro;concorda parcial;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total
SUDESTE;54;metropolitano;feminino;branca;quinta série fundamental;primeira série fundamental;primeira série fundamental;1500;2000;3;2;evangélica;discorda total;neutro;discorda total;neutro;neutro;concorda total;discorda total;concorda total;concorda parcial;discorda parcial;concorda parcial;neutro;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;neutro;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total
SUDESTE;49;metropolitano;feminino;branca;fundamental completa;segunda série fundamental;segunda série fundamental;2000;3000;4;2;evangélica;discorda total;neutro;neutro;neutro;neutro;concorda total;discorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;neutro;neutro;concorda total;concorda parcial;neutro;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
SUDESTE;63;metropolitano;masculino;branca;terceira série fundamental;não sabe;não sabe;700;700;2;2;católica;discorda total;neutro;discorda total;neutro;neutro;concorda total;discorda total;concorda total;discorda total;concorda parcial;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;neutro;concorda total;concorda parcial;neutro;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;concorda parcial
SUDESTE;52;metropolitano;feminino;branca;quinta série fundamental;não sabe;não sabe;2500;3000;4;2;evangélica;discorda total;neutro;discorda total;neutro;concorda parcial;concorda total;discorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;neutro;neutro;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
SUDESTE;18;metropolitano;masculino;preta;fundamental completa;quinta série fundamental;quinta série fundamental;2500;3800;5;2;católica;discorda total;neutro;discorda total;concorda parcial;concorda parcial;concorda total;discorda total;concorda total;discorda total;concorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;discorda parcial;discorda parcial;concorda parcial;neutro;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
SUDESTE;35;metropolitano;feminino;branca;superior completo;fundamental completa;oitava série fundamental incompleta;4000;4800;6;2;católica;discorda total;neutro;discorda total;discorda parcial;concorda parcial;concorda total;discorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;discorda parcial;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;neutro
SUDESTE;30;metropolitano;feminino;branca;superior completo;médio completo;médio completo;;;3;2;evangélica;discorda total;neutro;discorda total;discorda total;neutro;concorda total;discorda total;concorda total;discorda total;concorda total;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total;neutro;concorda total;concorda parcial;neutro;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
SUL;67;urbano;feminino;branca;quarta série fundamental completa;quarta série fundamental incompleta;quarta série fundamental incompleta;;670;2;2;católica;concorda parcial;ns;concorda parcial;concorda parcial;concorda total;discorda parcial;discorda parcial;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda total;concorda total;discorda total;discorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;concorda total
SUDESTE;35;urbano;feminino;parda;fundamental completa;não conheceu;analfabeto ou sem instrução;900;900;2;2;católica;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda parcial;discorda total;discorda total;neutro;discorda total;concorda total;concorda total
SUL;29;urbano;feminino;parda;médio completo;fundamental completa;fundamental completa;850;1900;;2;católica;discorda total;discorda total;concorda parcial;discorda parcial;discorda total;concorda parcial;discorda total;concorda total;concorda total;discorda parcial;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;concorda parcial
NORDESTE;47;urbano;feminino;branca;médio completo;analfabeto ou sem instrução;analfabeto ou sem instrução;1000;1200;9;1;católica;discorda total;discorda parcial;discorda total;discorda total;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;concorda parcial;discorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;concorda total;concorda parcial;discorda total;discorda parcial;concorda total
SUDESTE;65;urbano;feminino;branca;quarta série fundamental incompleta;quarta série fundamental incompleta;quarta série fundamental incompleta;900;900;2;2;sem;discorda total;neutro;discorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda parcial
